time,distance
2023-06-25 19:34:22.530410,1.16
2023-06-25 19:34:23.030405,1.12
2023-06-25 19:34:23.530396,1.13
2023-06-25 19:34:24.030399,1.12
2023-06-25 19:34:24.530406,1.10
2023-06-25 19:34:25.030416,1.15
2023-06-25 19:34:25.530398,1.17
2023-06-25 19:34:26.030493,1.12
2023-06-25 19:34:26.531037,1.11
2023-06-25 19:34:27.031190,1.16
2023-06-25 19:34:27.530409,0.99
2023-06-25 19:34:28.030378,1.05
2023-06-25 19:34:28.530363,1.05
2023-06-25 19:34:29.030384,1.12
2023-06-25 19:34:29.530363,1.06
2023-06-25 19:34:30.030363,1.01
2023-06-25 19:34:30.530355,1.05
2023-06-25 19:34:31.030358,1.12
2023-06-25 19:34:31.530342,1.10
2023-06-25 19:34:32.030678,1.10
2023-06-25 19:34:32.530379,1.12
2023-06-25 19:34:33.030355,1.12
2023-06-25 19:34:33.530320,1.12
2023-06-25 19:34:34.030316,1.14
2023-06-25 19:34:34.530329,1.11
2023-06-25 19:34:35.031554,0.92
2023-06-25 19:34:35.530770,1.18
2023-06-25 19:34:36.031132,1.15
2023-06-25 19:34:36.530536,1.12
2023-06-25 19:34:37.030949,1.13
2023-06-25 19:34:37.531042,1.10
