time,distance
2023-06-27 18:50:42.109014,0.00
2023-06-27 18:50:42.609330,0.00
2023-06-27 18:50:43.109016,0.00
2023-06-27 18:50:43.609004,0.00
2023-06-27 18:50:44.109021,0.00
2023-06-27 18:50:44.609003,0.00
2023-06-27 18:50:45.109001,0.00
2023-06-27 18:50:45.609119,0.00
2023-06-27 18:50:46.109147,0.00
2023-06-27 18:50:46.609230,0.00
2023-06-27 18:50:47.109019,0.00
2023-06-27 18:50:47.609328,0.00
2023-06-27 18:50:48.109010,0.00
2023-06-27 18:50:48.609023,0.00
2023-06-27 18:50:49.109020,0.00
2023-06-27 18:50:49.609042,0.00
2023-06-27 18:50:50.109012,0.00
2023-06-27 18:50:50.609029,0.00
2023-06-27 18:50:51.109026,0.00
2023-06-27 18:50:51.609039,0.00
2023-06-27 18:50:52.109739,0.00
2023-06-27 18:50:52.609799,0.00
2023-06-27 18:50:53.109946,0.00
2023-06-27 18:50:53.609106,0.00
2023-06-27 18:50:54.109150,0.00
2023-06-27 18:50:54.609184,0.00
2023-06-27 18:50:55.109290,0.00
2023-06-27 18:50:55.609461,0.00
2023-06-27 18:50:56.109541,0.00
2023-06-27 18:50:56.609815,0.00
2023-06-27 18:50:57.109049,0.00
2023-06-27 18:50:57.609361,0.00
2023-06-27 18:50:58.109057,0.00
2023-06-27 18:50:58.609095,0.29
2023-06-27 18:50:59.109058,0.00
2023-06-27 18:50:59.609165,0.00
2023-06-27 18:51:00.109071,0.00
2023-06-27 18:51:00.609097,0.18
2023-06-27 18:51:01.109106,0.46
2023-06-27 18:51:01.609109,0.30
2023-06-27 18:51:02.109236,0.28
2023-06-27 18:51:02.609549,0.41
2023-06-27 18:51:03.109464,0.38
2023-06-27 18:51:03.609543,0.39
2023-06-27 18:51:04.109672,0.30
2023-06-27 18:51:04.609840,0.27
2023-06-27 18:51:05.109879,0.31
2023-06-27 18:51:05.610037,0.35
2023-06-27 18:51:06.109247,0.31
2023-06-27 18:51:06.609262,0.43
2023-06-27 18:51:07.109166,0.49
2023-06-27 18:51:07.609470,0.47
2023-06-27 18:51:08.109155,0.36
2023-06-27 18:51:08.609157,0.50
2023-06-27 18:51:09.109165,0.90
2023-06-27 18:51:10.109186,1.66
2023-06-27 18:51:10.609167,1.98
2023-06-27 18:51:11.609188,2.51
2023-06-27 18:51:12.109374,3.25
2023-06-27 18:51:12.609682,3.40
2023-06-27 18:51:13.109589,3.78
2023-06-27 18:51:14.109996,4.22
2023-06-27 18:51:15.109340,4.69
2023-06-27 18:51:15.609316,4.69
2023-06-27 18:51:16.109452,4.71
2023-06-27 18:51:16.609563,4.76
2023-06-27 18:51:17.109249,4.71
2023-06-27 18:51:17.609566,4.56
2023-06-27 18:51:18.109258,4.82
2023-06-27 18:51:18.609266,4.30
2023-06-27 18:51:19.109260,4.03
2023-06-27 18:51:19.609267,4.13
2023-06-27 18:51:20.109276,3.50
2023-06-27 18:51:20.609283,3.29
2023-06-27 18:51:21.110084,3.11
2023-06-27 18:51:21.609312,2.81
2023-06-27 18:51:22.109388,3.03
2023-06-27 18:51:22.611330,3.19
2023-06-27 18:51:23.109446,3.31
2023-06-27 18:51:23.609717,3.26
2023-06-27 18:51:24.109804,3.32
2023-06-27 18:51:24.609962,3.33
2023-06-27 18:51:25.110131,3.28
2023-06-27 18:51:25.609446,3.43
2023-06-27 18:51:26.109580,3.39
2023-06-27 18:51:26.609661,3.34
2023-06-27 18:51:27.109373,3.48
2023-06-27 18:51:27.609677,3.67
2023-06-27 18:51:28.109382,3.97
2023-06-27 18:51:28.609370,4.36
2023-06-27 18:51:29.109386,4.92
2023-06-27 18:51:29.609453,5.13
2023-06-27 18:51:30.109394,5.45
2023-06-27 18:51:30.609395,5.74
2023-06-27 18:51:31.109402,6.19
2023-06-27 18:51:31.609402,6.41
2023-06-27 18:51:32.110130,6.83
2023-06-27 18:51:32.610357,7.16
2023-06-27 18:51:33.109595,7.52
2023-06-27 18:51:33.609820,7.86
2023-06-27 18:51:34.110059,8.28
2023-06-27 18:51:34.610216,8.70
2023-06-27 18:51:35.109536,9.09
