time,distance,angle,x,y
2023-07-02 04:03:11.267342,1.63,112.027,-21.15,-8.1
2023-07-02 04:03:11.556895,1.57,111.125,-19.05,-6.6
2023-07-02 04:03:12.056965,1.62,108.159,-18.75,-6.1499999999999995
2023-07-02 04:03:12.556975,1.53,110.366,-19.65,-7.6499999999999995
2023-07-02 04:03:13.057304,1.58,109.179,-20.7,-7.199999999999999
2023-07-02 04:03:13.557057,1.58,112.027,-19.8,-8.7
2023-07-02 04:03:14.057058,1.53,110.837,-20.099999999999998,-7.6499999999999995
2023-07-02 04:03:14.557216,1.54,109.654,-20.55,-7.199999999999999
2023-07-02 04:03:15.057195,1.58,110.956,-21.15,-8.1
2023-07-02 04:03:15.557268,1.58,107.668,-19.95,-5.85
2023-07-02 04:03:16.057290,1.59,117.408,-20.25,-10.5
2023-07-02 04:03:16.557329,1.61,110.556,-21.45,-8.7
2023-07-02 04:03:17.057313,1.61,110.735,-19.65,-7.949999999999999
2023-07-02 04:03:17.557463,1.56,116.732,-20.55,-8.4
2023-07-02 04:03:18.057714,1.58,110.556,-19.05,-6.1499999999999995
2023-07-02 04:03:18.557505,1.59,110.659,-19.05,-6.0
2023-07-02 04:03:19.057524,1.58,107.565,-18.0,-6.1499999999999995
2023-07-02 04:03:19.560141,1.57,106.243,-19.05,-5.55
2023-07-02 04:03:20.061531,1.61,113.035,-19.95,-7.199999999999999
2023-07-02 04:03:20.561085,1.62,114.803,-20.099999999999998,-6.1499999999999995
2023-07-02 04:03:21.061713,1.59,114.803,-19.95,-7.949999999999999
2023-07-02 04:03:21.562264,1.57,107.241,-18.9,-7.5
