time,distance,angle
2023-07-06 21:34:08.551189,3.26,148.42369610597024
2023-07-06 21:34:08.572323,3.15,148.42369610597024
2023-07-06 21:34:09.043158,3.12,145.03021331973287
2023-07-06 21:34:09.543518,3.18,150.59281093926634
2023-07-06 21:34:10.043314,3.19,151.53483785734517
2023-07-06 21:34:10.543595,3.20,138.92757662621747
2023-07-06 21:34:11.043509,3.19,142.28680311398162
2023-07-06 21:34:11.543811,3.20,152.634461076659
2023-07-06 21:34:12.052831,3.38,149.17233770013198
2023-07-06 21:34:12.551489,3.48,151.52579638992563
2023-07-06 21:34:13.051858,3.72,144.73272503297522
2023-07-06 21:34:13.552784,3.94,147.60414728376182
2023-07-06 21:34:14.052058,4.13,149.34933204294714
2023-07-06 21:34:14.551766,4.45,146.83011332616803
2023-07-06 21:34:15.051840,4.68,147.72435568542238
2023-07-06 21:34:15.551799,4.98,147.32472743413737
2023-07-06 21:34:16.052185,5.29,139.88840094812477
2023-07-06 21:34:16.552878,5.56,138.52746805037413
2023-07-06 21:34:17.052854,6.01,135.56726640985795
2023-07-06 21:34:17.552721,6.20,147.0241088026896
2023-07-06 21:34:18.044827,6.65,157.29174980851187
2023-07-06 21:34:18.545039,7.07,149.90265423903114
2023-07-06 21:34:19.044978,7.54,155.8831585445312
2023-07-06 21:34:19.545217,7.94,148.53994980197095
2023-07-06 21:34:20.045135,8.89,144.40078004102384
2023-07-06 21:34:20.545386,8.68,145.0975043840753
2023-07-06 21:34:21.045329,8.89,147.37316003419338
2023-07-06 21:34:21.545588,9.38,145.51820702182837
2023-07-06 21:34:22.045861,9.72,145.98065001017355
2023-07-06 21:34:22.545914,10.71,165.00891527820133
2023-07-06 21:34:23.053213,10.96,155.22485943116808
2023-07-06 21:34:23.553967,11.24,147.29134876286662
2023-07-06 21:34:24.554024,11.28,149.62878012622647
2023-07-06 21:34:25.053357,11.95,158.56883272376683
2023-07-06 21:34:25.554219,11.57,137.84661691581613
2023-07-06 21:34:26.054242,11.59,123.01458588092025
2023-07-06 21:34:26.553970,11.50,100.68910467185543
2023-07-06 21:34:27.054988,11.54,94.43266846868987
2023-07-06 21:34:27.554020,11.56,92.50162281428177
2023-07-06 21:34:28.054371,11.54,101.66635574267768
2023-07-06 21:34:28.554255,11.56,105.85702201802825
2023-07-06 21:34:29.054767,11.65,111.37062226934319
2023-07-06 21:34:29.555161,11.66,121.83528243268456
2023-07-06 21:34:30.054458,11.69,110.73870914752221
2023-07-06 21:34:30.555130,11.78,112.98871680208065
2023-07-06 21:34:31.054984,11.88,121.94997144633315
2023-07-06 21:34:31.555459,11.93,125.88684442492458
2023-07-06 21:34:32.055013,12.03,114.07133340958839
2023-07-06 21:34:32.556098,12.27,107.62229722866827
2023-07-06 21:34:33.047871,12.51,119.97394866023606
2023-07-06 21:34:33.548045,12.70,112.51546947380662
2023-07-06 21:34:34.048083,12.88,112.3194403929751
2023-07-06 21:34:34.548177,13.14,119.35775354279127
2023-07-06 21:34:35.048451,13.23,119.35775354279127
2023-07-06 21:34:35.548442,13.52,119.35775354279127
2023-07-06 21:34:36.048502,13.78,119.35775354279127
2023-07-06 21:34:36.548587,13.91,119.35775354279127
2023-07-06 21:34:37.049093,14.23,119.35775354279127
2023-07-06 21:34:37.548837,14.52,119.35775354279127
2023-07-06 21:34:38.056924,14.76,119.35775354279127
2023-07-06 21:34:38.557528,15.16,119.35775354279127
2023-07-06 21:34:39.056474,15.38,127.02672876742965
2023-07-06 21:34:39.557160,15.73,118.09617756072286
2023-07-06 21:34:40.056547,16.08,122.61153684669148
2023-07-06 21:34:40.557966,16.38,118.57781250168472
2023-07-06 21:34:41.056717,16.64,115.84438755456033
2023-07-06 21:34:42.057656,17.49,120.08796569646576
2023-07-06 21:34:42.557059,17.80,122.79489381576873
2023-07-06 21:34:43.049997,18.19,128.41087812081932
2023-07-06 21:34:43.550100,18.46,122.62604537194599
2023-07-06 21:34:44.050266,18.77,131.74805439963612
2023-07-06 21:34:44.550331,19.07,131.74805439963612
2023-07-06 21:34:45.050448,19.41,125.53767779197439
2023-07-06 21:34:45.550572,19.65,118.78470673027589
2023-07-06 21:34:46.651181,20.45,129.19642450415188
2023-07-06 21:34:47.151862,20.67,121.66721642943617
2023-07-06 21:34:47.651047,20.94,120.85177795247168
2023-07-06 21:34:48.159029,21.28,126.23840660948147
2023-07-06 21:34:48.658676,21.63,126.23840660948147
2023-07-06 21:34:49.159059,21.97,116.07535558394876
2023-07-06 21:34:49.658720,22.23,126.37481682182955
2023-07-06 21:34:52.365880,24.21,116.77302042530862
2023-07-06 21:34:52.858343,24.58,113.7203955723046
2023-07-06 21:34:53.358387,24.98,119.07556852533261
2023-07-06 21:34:53.858489,25.33,121.60750224624891
2023-07-06 21:34:54.358612,25.73,114.20588504449636
2023-07-06 21:34:54.858782,26.00,126.78412558489691
2023-07-06 21:34:55.358856,26.47,133.22853025996594
2023-07-06 21:34:55.859251,26.78,111.94512769541758
2023-07-06 21:34:56.359068,27.04,116.05802211616322
2023-07-06 21:34:56.859161,27.40,120.53882652696838
2023-07-06 21:34:58.370089,28.31,129.1077723826809
2023-07-06 21:34:58.868763,28.46,130.03025927188972
2023-07-06 21:34:59.370007,28.48,129.96621304379997
2023-07-06 21:34:59.870568,28.50,131.04978473740096
2023-07-06 21:35:00.370074,28.44,102.17591251779976
2023-07-06 21:35:01.370932,28.49,93.74298829568714
2023-07-06 21:35:01.870485,28.47,66.03751102542182
2023-07-06 21:35:02.370782,28.45,60.87117861145701
2023-07-06 21:35:02.863608,28.41,72.23235953291308
2023-07-06 21:35:03.363706,28.41,72.85444908113826
2023-07-06 21:35:03.864017,28.40,74.45840478666516
2023-07-06 21:35:04.363974,28.42,68.27580849858616
2023-07-06 21:35:04.864103,28.33,77.00538320808349
2023-07-06 21:35:05.364184,28.25,85.64892204842612
2023-07-06 21:35:05.864650,28.27,90.75884012426856
2023-07-06 21:35:06.364433,28.27,76.27290342145022
2023-07-06 21:35:06.864568,28.22,88.3153156821037
2023-07-06 21:35:07.364685,28.19,75.69264287958971
2023-07-06 21:35:07.872715,28.10,90.0
2023-07-06 21:35:08.869830,28.19,86.08586278138758
2023-07-06 21:35:09.372258,28.11,74.59229635935799
2023-07-06 21:35:09.872714,28.09,79.9546696305033
2023-07-06 21:35:10.373038,28.05,83.25442035251719
2023-07-06 21:35:10.873774,28.05,79.57928760320549
2023-07-06 21:35:11.373282,27.99,65.99285337311419
2023-07-06 21:35:11.872842,27.94,60.47863816541836
2023-07-06 21:35:12.373420,27.80,349.46081627137175
2023-07-06 21:35:12.869184,27.82,10.203973721731684
2023-07-06 21:35:13.373499,27.88,48.532294583890895
2023-07-06 21:35:13.872265,27.87,58.736268305622566
2023-07-06 21:35:14.373545,27.98,43.69804732742112
2023-07-06 21:35:14.873933,27.91,37.05652818940959
2023-07-06 21:35:15.375204,27.80,12.680383491819816
2023-07-06 21:35:15.874224,27.49,5.7105931374996475
2023-07-06 21:35:16.374519,27.18,4.653351587268388
2023-07-06 21:35:16.874142,26.83,350.3947958449871
2023-07-06 21:35:17.374459,26.50,349.61114218453037
2023-07-06 21:35:17.867293,26.14,0.0
2023-07-06 21:35:18.367417,25.83,25.201123645475082
2023-07-06 21:35:18.867561,25.28,47.72631099390627
2023-07-06 21:35:19.367658,25.02,355.6839724801344
2023-07-06 21:35:19.867794,24.60,14.036243467926477
2023-07-06 21:35:20.367910,24.30,7.2369220259680125
2023-07-06 21:35:20.868385,24.00,45.97102193107917
2023-07-06 21:35:21.368185,23.34,20.725558865560537
2023-07-06 21:35:21.868315,22.91,12.225122675735749
2023-07-06 21:35:22.368456,22.46,81.46923439005188
2023-07-06 21:35:22.875724,22.13,346.7594800848128
2023-07-06 21:35:23.376214,21.69,59.601272285833936
2023-07-06 21:35:23.873592,21.22,42.049220890993645
2023-07-06 21:35:24.376215,20.92,101.30993247402021
2023-07-06 21:35:24.876718,20.48,354.5596679689945
2023-07-06 21:35:25.376360,20.10,25.346175941946683
2023-07-06 21:35:25.876856,19.78,39.17365797044423
2023-07-06 21:35:26.376614,19.34,36.119340849479755
2023-07-06 21:35:26.877028,19.27,61.38954033403478
2023-07-06 21:35:27.376800,18.65,355.333141628561
2023-07-06 21:35:27.869894,18.16,7.6789638073687
2023-07-06 21:35:28.370143,17.87,52.125016348901795
2023-07-06 21:35:28.870127,17.46,28.009176708013836
2023-07-06 21:35:29.370254,17.09,18.434948822922006
2023-07-06 21:35:29.870347,16.76,17.10272896905237
2023-07-06 21:35:30.370499,16.36,61.85839876773828
2023-07-06 21:35:30.870927,16.09,63.838433557980764
2023-07-06 21:35:31.370756,15.66,337.03622694014547
2023-07-06 21:35:31.870894,15.35,63.072322148959486
2023-07-06 21:35:32.371023,15.06,32.9052429229879
2023-07-06 21:35:32.878733,14.79,39.237367113401554
2023-07-06 21:35:33.378422,14.54,223.15238973400542
2023-07-06 21:35:33.876144,14.29,42.397437797500196
2023-07-06 21:35:34.378689,13.92,54.1623470457217
2023-07-06 21:35:34.878973,13.61,35.75388725443675
2023-07-06 21:35:35.379600,13.29,353.36748538486154
2023-07-06 21:35:35.879445,13.07,26.56505117707799
2023-07-06 21:35:36.379814,12.83,311.18592516570965
2023-07-06 21:35:36.879497,12.57,48.50353164478445
2023-07-06 21:35:37.380001,12.53,350.53767779197443
2023-07-06 21:35:37.872529,12.43,319.7636416907262
2023-07-06 21:35:38.372582,12.36,55.78429786756259
2023-07-06 21:35:38.872789,12.18,332.7446716250569
2023-07-06 21:35:39.372854,12.18,316.04162667600997
2023-07-06 21:35:39.873027,12.07,75.5297058999341
2023-07-06 21:35:40.373104,12.00,33.6900675259798
2023-07-06 21:35:40.873568,12.01,200.13630342824814
2023-07-06 21:35:41.373427,11.96,270.0
2023-07-06 21:35:41.873555,11.99,286.6992442339936
2023-07-06 21:35:42.373690,12.00,20.32313682966294
2023-07-06 21:35:42.881776,12.05,252.34987578006988
2023-07-06 21:35:43.381845,12.17,244.53665493812838
2023-07-06 21:35:43.879937,12.26,291.8014094863518
2023-07-06 21:35:44.381917,12.34,15.068488159492217
2023-07-06 21:35:44.882758,12.47,316.7013546053261
2023-07-06 21:35:45.382113,12.62,284.0362434679265
2023-07-06 21:35:45.882774,12.75,3.6913859864512846
2023-07-06 21:35:46.382511,12.88,306.3843518158359
2023-07-06 21:35:46.882323,13.13,71.56505117707796
2023-07-06 21:35:47.384113,13.40,233.74616226255523
2023-07-06 21:35:47.875137,13.51,27.552811576717808
2023-07-06 21:35:48.375239,13.77,300.579226872489
2023-07-06 21:35:48.875390,13.96,71.56505117707799
2023-07-06 21:35:49.375519,14.10,345.1243179983612
2023-07-06 21:35:49.875641,14.28,73.00917670801383
2023-07-06 21:36:05.663951,20.50,190.92280471986928
2023-07-06 21:36:06.163331,20.55,235.5610106911964
2023-07-06 21:36:06.663859,20.57,244.02560603756868
2023-07-06 21:36:07.156401,20.48,170.04937331204843
2023-07-06 21:36:07.656479,20.54,201.80140948635182
2023-07-06 21:36:29.098611,22.29,146.30993247402023
2023-07-06 21:36:29.600048,21.87,157.2809789129694
2023-07-06 21:36:30.099938,21.34,152.38697217691555
2023-07-06 21:36:31.093000,20.48,147.49601104443752
2023-07-06 21:36:32.696450,18.82,145.38402068762016
2023-07-06 21:36:33.196684,18.51,146.90426571549176
2023-07-06 21:36:33.696741,18.02,146.11592944733158
2023-07-06 21:36:34.196842,17.56,146.78232513446233
2023-07-06 21:36:34.697015,16.99,143.13010235415598
2023-07-06 21:36:35.197160,16.39,152.53272766139187
2023-07-06 21:36:35.704867,16.02,154.41426847726152
2023-07-06 21:36:36.207376,15.61,158.7615694725643
2023-07-06 21:36:36.706090,15.22,162.05755291084134
2023-07-06 21:36:37.205605,14.79,156.51122512701363
2023-07-06 21:36:37.705953,14.17,158.32812106806037
2023-07-06 21:36:38.205867,13.69,154.81056937058975
2023-07-06 21:36:38.705250,13.21,155.5808593278255
2023-07-06 21:36:39.205218,12.86,156.29735404903377
2023-07-06 21:36:39.706804,12.43,160.4975514933378
2023-07-06 21:36:40.207776,11.85,168.00916502096078
2023-07-06 21:36:40.698734,11.39,161.01490284956816
2023-07-06 21:36:41.199141,11.00,154.1556124454397
2023-07-06 21:36:41.698955,10.53,160.2405292647868
2023-07-06 21:36:42.198998,9.99,151.85321878587797
2023-07-06 21:36:42.699169,9.53,163.5706985484666
2023-07-06 21:36:43.199335,9.07,160.88027367006887
2023-07-06 21:36:43.699443,8.63,142.6960517220166
2023-07-06 21:36:44.199581,8.13,153.01469391820527
2023-07-06 21:36:44.699705,7.68,148.24936595178715
2023-07-06 21:36:45.199872,7.32,159.44395478041653
2023-07-06 21:36:45.707649,6.90,152.4976781700943
2023-07-06 21:36:46.209358,6.50,153.43494882292202
2023-07-06 21:36:46.707991,6.06,141.55148438185788
2023-07-06 21:36:47.207556,5.72,152.82435972320596
2023-07-06 21:36:47.708179,5.33,149.41010947985578
2023-07-06 21:36:48.207881,4.92,151.96883212874843
2023-07-06 21:36:48.708372,4.57,158.8752808539275
2023-07-06 21:36:49.208041,4.30,149.47659518653703
2023-07-06 21:36:49.708633,3.98,159.73792746764775
2023-07-06 21:36:50.204344,3.78,150.1189436070853
2023-07-06 21:36:50.701433,3.45,154.15238977940376
2023-07-06 21:36:51.201877,3.26,148.05002855366686
2023-07-06 21:36:51.701731,3.18,161.14064575771653
2023-07-06 21:36:52.201851,3.24,147.87500155961249
2023-07-06 21:36:52.701984,3.23,146.90830006131756
2023-07-06 21:36:53.202118,3.36,160.89551494909037
2023-07-06 21:36:53.702263,3.56,153.71626790193358
2023-07-06 21:36:54.202431,3.79,153.87454975820333
2023-07-06 21:36:54.702569,4.15,165.7189042640292
2023-07-06 21:36:55.207908,4.49,158.86017519134234
2023-07-06 21:36:55.710129,4.84,160.16407497329428
2023-07-06 21:36:56.211574,5.29,153.22697957469143
2023-07-06 21:36:56.711009,5.62,173.82193509787166
2023-07-06 21:36:57.210930,6.48,157.45282233235952
2023-07-06 21:36:57.711220,6.65,165.0852482604597
