time,distance,angle
2023-07-25 17:01:02.149304,19.58,224.02325446715565
2023-07-25 17:01:02.648694,19.55,225.02210843204455
2023-07-25 17:01:03.149028,19.48,226.99654906160833
2023-07-25 17:01:03.648450,19.44,230.93851296956993
2023-07-25 17:01:04.148987,19.31,231.5437138262658
2023-07-25 17:01:04.649249,19.46,231.34989161671112
2023-07-25 17:01:05.148683,19.47,231.0649539896334
2023-07-25 17:01:05.649027,19.41,230.0650415513667
2023-07-25 17:01:06.148381,19.30,231.48992159765663
2023-07-25 17:01:06.648838,19.10,226.27212502953614
2023-07-25 17:01:07.149238,18.87,224.03478420473903
2023-07-25 17:01:07.648691,18.69,227.43935329980454
2023-07-25 17:01:08.149116,18.40,223.11672007740518
2023-07-25 17:01:08.648405,18.28,222.67882068812165
2023-07-25 17:01:09.148936,18.03,221.29689473688006
2023-07-25 17:01:09.648458,17.79,224.31742664481766
2023-07-25 17:01:10.148855,17.65,226.815384427393
2023-07-25 17:01:10.649169,17.32,227.83869419489963
2023-07-25 17:01:11.148566,17.15,227.98186547107267
2023-07-25 17:01:11.648999,16.89,222.7984660152346
2023-07-25 17:01:12.149527,16.72,221.69473047973005
2023-07-25 17:01:12.648797,16.39,220.2017124748681
2023-07-25 17:01:13.149288,16.15,222.53466932822315
2023-07-25 17:01:13.648615,15.89,224.2652310276543
2023-07-25 17:01:14.149120,15.59,224.79117626468172
2023-07-25 17:01:14.648454,15.39,225.7802304192951
2023-07-25 17:01:15.149038,15.19,223.47908522323445
2023-07-25 17:01:15.648343,14.92,223.10855577285986
2023-07-25 17:01:16.148800,14.60,226.14545162707503
2023-07-25 17:01:16.649185,14.35,228.19422163005314
2023-07-25 17:01:18.151464,13.61,228.1187904906066
2023-07-25 17:01:18.651894,13.43,228.3870743832925
2023-07-25 17:01:19.151374,13.19,226.25561869730083
2023-07-25 17:01:19.651797,12.98,225.12288440428975
2023-07-25 17:01:20.152218,12.66,225.5381768860266
2023-07-25 17:01:20.651594,12.42,225.44916302633902
2023-07-25 17:01:21.152222,12.17,227.44448657672572
2023-07-25 17:01:21.651625,12.01,225.57031945737413
2023-07-25 17:01:22.152099,11.84,225.45361171952774
2023-07-25 17:01:22.651634,11.56,222.91417697768122
2023-07-25 17:01:23.152186,11.30,222.68371775804033
