time,Bx,By,Bz,Btotal
2023-06-25 16:47:15.0220,-23.15,28.12,-55.63,66.49
2023-06-25 16:47:15.1270,-22.93,28.1,-55.66,66.43
2023-06-25 16:47:15.2310,-22.9,28.39,-55.73,66.6
2023-06-25 16:47:15.3350,-22.73,27.92,-56.17,66.72
2023-06-25 16:47:15.4400,-22.69,28.56,-55.94,66.78
2023-06-25 16:47:15.5440,-22.78,28.49,-55.99,66.82
2023-06-25 16:47:15.6480,-22.68,28.51,-55.92,66.74
2023-06-25 16:47:15.7530,-22.85,28.33,-55.89,66.69
2023-06-25 16:47:15.8570,-22.9,28.49,-55.63,66.56
2023-06-25 16:47:15.9610,-22.62,28.38,-55.96,66.7
2023-06-25 16:47:16.0640,-22.77,28.37,-55.71,66.53
2023-06-25 16:47:16.1700,-22.88,28.28,-55.65,66.48
2023-06-25 16:47:16.2730,-22.53,28.3,-55.96,66.63
2023-06-25 16:47:16.3780,-23.02,28.53,-55.89,66.84
2023-06-25 16:47:16.4820,-22.82,28.17,-55.69,66.45
2023-06-25 16:47:16.6040,-22.76,28.47,-55.69,66.56
2023-06-25 16:47:16.7050,-23.03,28.63,-55.69,66.72
2023-06-25 16:47:16.8110,-22.89,28.45,-56.2,67.02
2023-06-25 16:47:16.9080,-22.91,28.3,-55.58,66.45
2023-06-25 16:47:17.0080,-23.02,28.4,-55.87,66.77
2023-06-25 16:47:17.1080,-22.76,28.44,-56.21,66.99
2023-06-25 16:47:17.2120,-22.88,28.39,-56.19,66.98
2023-06-25 16:47:17.3160,-23.01,28.14,-56.29,67.01
2023-06-25 16:47:17.4200,-23.1,28.39,-56.16,67.03
2023-06-25 16:47:17.5240,-23.07,28.43,-56.15,67.03
2023-06-25 16:47:17.6290,-22.83,28.36,-56.14,66.91
2023-06-25 16:47:17.7340,-22.92,28.39,-56.11,66.93
2023-06-25 16:47:17.8390,-22.9,28.48,-55.75,66.65
2023-06-25 16:47:17.9430,-22.71,28.62,-56.69,67.44
2023-06-25 16:47:18.0470,-22.77,28.35,-56.41,67.11
2023-06-25 16:47:18.1510,-22.7,28.34,-56.16,66.88
2023-06-25 16:47:18.2550,-22.95,28.45,-56.44,67.24
2023-06-25 16:47:18.3590,-23.03,28.6,-56.47,67.36
2023-06-25 16:47:18.4640,-22.9,28.4,-55.93,66.78
2023-06-25 16:47:18.5680,-22.82,28.42,-55.77,66.63
2023-06-25 16:47:18.6730,-22.99,28.68,-55.69,66.73
2023-06-25 16:47:18.7770,-23.18,28.78,-56.09,67.17
2023-06-25 16:47:18.9650,-23.06,28.52,-56.15,67.07
2023-06-25 16:47:19.0650,-23.09,28.46,-55.82,66.78
2023-06-25 16:47:19.1640,-23.07,28.53,-56.06,67.01
2023-06-25 16:47:19.2640,-23.04,28.74,-55.69,66.77
2023-06-25 16:47:19.3630,-22.8,28.5,-55.95,66.8
2023-06-25 16:47:19.4620,-22.8,28.53,-55.91,66.78
2023-06-25 16:47:19.5610,-22.82,28.35,-55.75,66.58
2023-06-25 16:47:19.6610,-22.91,28.1,-55.95,66.68
2023-06-25 16:47:19.7600,-22.9,28.16,-55.96,66.7
2023-06-25 16:47:19.8600,-22.71,28.29,-56.27,66.96
2023-06-25 16:47:19.9590,-22.65,28.41,-56.16,66.88
2023-06-25 16:47:20.0580,-22.81,28.51,-56.9,67.61
2023-06-25 16:47:20.1570,-23.07,28.43,-56.24,67.1
2023-06-25 16:47:20.2570,-23.01,28.5,-56.34,67.2
2023-06-25 16:47:20.3560,-22.89,28.64,-56.2,67.1
2023-06-25 16:47:20.4550,-22.75,28.84,-56.13,67.09
2023-06-25 16:47:20.5550,-22.94,28.81,-55.89,66.93
2023-06-25 16:47:20.6540,-22.62,28.9,-56.24,67.15
2023-06-25 16:47:20.7530,-22.73,28.55,-56.35,67.14
2023-06-25 16:47:20.8520,-22.84,28.81,-56.36,67.29
2023-06-25 16:47:20.9510,-23.08,28.54,-56.05,67.0
2023-06-25 16:47:21.0510,-22.67,28.64,-56.05,66.9
2023-06-25 16:47:21.1500,-22.97,28.63,-56.04,66.99
2023-06-25 16:47:21.2500,-23.01,28.7,-55.83,66.86
2023-06-25 16:47:21.3490,-22.85,28.58,-55.77,66.7
2023-06-25 16:47:21.4480,-22.98,28.46,-56.28,67.13
2023-06-25 16:47:21.5480,-22.85,28.67,-56.26,67.15
2023-06-25 16:47:21.6470,-22.62,28.55,-56.04,66.83
2023-06-25 16:47:21.7460,-22.73,28.64,-55.82,66.73
2023-06-25 16:47:21.8450,-22.9,28.63,-55.84,66.8
2023-06-25 16:47:21.9440,-22.74,28.75,-56.04,66.96
2023-06-25 16:47:22.0440,-22.78,28.67,-56.3,67.16
2023-06-25 16:47:22.1430,-22.61,28.65,-55.81,66.68
2023-06-25 16:47:22.2420,-22.69,28.56,-55.92,66.76
2023-06-25 16:47:22.3410,-22.65,28.67,-56.1,66.95
2023-06-25 16:47:22.4430,-22.8,28.61,-55.89,66.8
2023-06-25 16:47:22.5430,-22.77,28.54,-55.92,66.78
2023-06-25 16:47:22.6440,-22.94,28.57,-55.92,66.85
2023-06-25 16:47:22.7430,-22.71,28.27,-56.13,66.83
2023-06-25 16:47:22.8470,-22.86,28.62,-55.81,66.75
2023-06-25 16:47:22.9430,-22.82,28.6,-55.7,66.64
2023-06-25 16:47:23.0450,-23.1,28.8,-55.99,67.07
2023-06-25 16:47:23.1430,-22.94,28.57,-56.19,67.09
2023-06-25 16:47:23.2460,-22.95,28.57,-56.12,67.03
2023-06-25 16:47:23.3480,-22.91,28.63,-56.29,67.18
2023-06-25 16:47:23.4450,-22.78,28.57,-56.22,67.05
2023-06-25 16:47:23.5460,-22.78,28.75,-56.14,67.06
2023-06-25 16:47:23.6520,-23.15,28.86,-56.44,67.48
2023-06-25 16:47:23.7480,-22.75,29.0,-56.01,67.05
2023-06-25 16:47:23.8510,-22.91,28.72,-55.86,66.86
2023-06-25 16:47:23.9500,-22.69,28.77,-55.9,66.84
2023-06-25 16:47:24.0530,-22.6,28.87,-56.39,67.26
2023-06-25 16:47:24.1510,-22.79,28.88,-55.79,66.83
2023-06-25 16:47:24.2520,-22.74,28.56,-56.07,66.91
2023-06-25 16:47:24.3550,-22.72,28.82,-56.39,67.28
2023-06-25 16:47:24.4280,-22.86,28.86,-56.2,67.19
2023-06-25 16:47:24.5280,-22.88,28.75,-56.44,67.34
2023-06-25 16:47:24.6270,-22.65,28.79,-56.56,67.38
2023-06-25 16:47:24.7260,-22.97,28.57,-56.55,67.39
2023-06-25 16:47:24.8260,-22.88,28.58,-56.39,67.23
